LipidClass,Lipid_Name,tail_length1,tail_length2,saturation_num1,saturation_num2,EmpiricalFormula,mz,mz_13C,ratio_12Cto13C
AsHC,AsHC402,20,NA,0,NA,AsOC22H47,403.29211051,404.29555004279996,3.9639503387656365
AsHC,AsHC416,21,NA,0,NA,AsOC23H49,417.30776058,418.3111997682973,3.79224582879257
AsHC,AsHC430,22,NA,0,NA,AsOC24H51,431.32341065,432.32684952240083,3.634799007056751
AsHC,AsHC444,23,NA,0,NA,AsOC25H53,445.33906072,446.3424993016896,3.4899048084580233
AsHC,AsHC458,24,NA,0,NA,AsOC26H55,459.35471079,460.35814910326707,3.356119621964381
AsHC,AsHC472,25,NA,0,NA,AsOC27H57,473.37036086,474.3737989246647,3.2322130267134073
AsHC,AsHC486,26,NA,0,NA,AsOC28H59,487.38601093,488.3894487637653,3.117129838752149
AsHC,AsHC500,27,NA,0,NA,AsOC29H61,501.401661,502.405098618743,3.0099599869893794
AsHC,AsHC514,28,NA,0,NA,AsOC30H63,515.41731107,516.4207484880146,2.9099143967589005
AsHC,AsHC528,29,NA,0,NA,AsOC31H65,529.43296114,530.4363983702007,2.816305528184408
AsHC,AsHC542,30,NA,0,NA,AsOC32H67,543.44861121,544.4520482640936,2.7285315538335984
AsHC,AsHC302,13,NA,1,NA,AsOC15H31,303.16690995,304.1703482306748,5.813385205523059
AsHC,AsHC316,14,NA,1,NA,AsOC16H33,317.18256002,318.18599788341555,5.45139738553253
AsHC,AsHC330,15,NA,1,NA,AsOC17H35,331.19821009,332.20164758507406,5.131847546625936
AsHC,AsHC344,16,NA,1,NA,AsOC18H37,345.21386016,346.2172973275243,4.8476860401971695
AsHC,AsHC358,17,NA,1,NA,AsOC19H39,359.22951023,360.23294710434567,4.593342712041326
AsHC,AsHC372,18,NA,1,NA,AsOC20H41,373.2451603,374.24859691039774,4.364358127987839
AsHC,AsHC386,19,NA,1,NA,AsOC21H43,387.26081037,388.26424674151656,4.157119865374049
AsHC,AsHC400,20,NA,1,NA,AsOC22H45,401.27646044,402.2798965942931,3.9686705306627634
AsHC,AsHC414,21,NA,1,NA,AsOC23H47,415.29211051,416.2955464659099,3.7965657299436777
AsHC,AsHC428,22,NA,1,NA,AsOC24H49,429.30776058,430.3111963540176,3.638767458828395
AsHC,AsHC442,23,NA,1,NA,AsOC25H51,443.32341065,444.3268462566421,3.493563017901888
AsHC,AsHC456,24,NA,1,NA,AsOC26H53,457.33906072,458.3424961721122,3.3595025971866015
AsHC,AsHC470,25,NA,1,NA,AsOC27H55,471.35471079,472.3581460990037,3.235350700168146
AsHC,AsHC484,26,NA,1,NA,AsOC28H57,485.37036086,486.37379603609554,3.1200479548430766
AsHC,AsHC498,27,NA,1,NA,AsOC29H59,499.38601093,500.3894459823347,3.0126808097200386
AsHC,AsHC512,28,NA,1,NA,AsOC30H61,513.401661,514.4050959368082,2.9124572786006597
AsHC,AsHC526,29,NA,1,NA,AsOC31H63,527.41731107,528.4207458987206,2.81868737090829
AsHC,AsHC540,30,NA,1,NA,AsOC32H65,541.43296114,542.4363958673761,2.730767184506929
AsHC,AsHC300,13,NA,2,NA,AsOC15H29,301.15125988,302.1546932009376,5.823543078957758
AsHC,AsHC314,14,NA,2,NA,AsOC16H31,315.16690995,316.17034316233355,5.460328651623125
AsHC,AsHC328,15,NA,2,NA,AsOC17H33,329.18256002,330.18599313648144,5.139761675749085
AsHC,AsHC342,16,NA,2,NA,AsOC18H35,343.19821009,344.2016431212599,4.854747386739767
AsHC,AsHC356,17,NA,2,NA,AsOC19H37,357.21386016,358.21729311499337,4.5996820377298935
AsHC,AsHC370,18,NA,2,NA,AsOC20H39,371.22951023,372.2329431163407,4.370080765636327
AsHC,AsHC384,19,NA,2,NA,AsOC21H41,385.2451603,386.2485931242161,4.162311612623351
AsHC,AsHC398,20,NA,2,NA,AsOC22H43,399.26081037,400.2642431377306,3.973401977380002
AsHC,AsHC412,21,NA,2,NA,AsOC23H45,413.27646044,414.2798931561498,3.800895484268428
AsHC,AsHC426,22,NA,2,NA,AsOC24H47,427.29211051,428.2955431788614,3.6427445855350005
AsHC,AsHC440,23,NA,2,NA,AsOC25H49,441.30776058,442.31119320535106,3.497228904654833
AsHC,AsHC454,24,NA,2,NA,AsOC26H51,455.32341065,456.3268432351834,3.3628923993818653
AsHC,AsHC468,25,NA,2,NA,AsOC27H53,469.33906072,470.34249326798744,3.238494471340425
AsHC,AsHC482,26,NA,2,NA,AsOC28H55,483.35471079,484.35814330344516,3.122971539670415
AsHC,AsHC496,27,NA,2,NA,AsOC29H57,497.37036086,498.37379334128235,3.015406555821221
AsHC,AsHC510,28,NA,2,NA,AsOC30H59,511.38601093,512.3894433812613,2.9150046086170196
AsHC,AsHC524,29,NA,2,NA,AsOC31H61,525.401661,526.4050934231751,2.821073245848676
AsHC,AsHC538,30,NA,2,NA,AsOC32H63,539.41731107,540.4207434668425,2.7330064817261155
AsHC,AsHC298,13,NA,3,NA,AsOC15H27,299.13560981,300.1390381538375,5.833736512740795
AsHC,AsHC312,14,NA,3,NA,AsOC16H29,313.15125988,314.1546884259864,5.4692892307171395
AsHC,AsHC326,15,NA,3,NA,AsOC17H31,327.16690995,328.17033867436305,5.147700252278034
AsHC,AsHC340,16,NA,3,NA,AsOC18H33,341.18256002,342.1859889029278,4.861829335009681
AsHC,AsHC354,17,NA,3,NA,AsOC19H35,355.19821009,356.2016391148078,4.606038885555159
AsHC,AsHC368,18,NA,3,NA,AsOC20H37,369.21386016,370.2172893125048,4.375818430272838
AsHC,AsHC382,19,NA,3,NA,AsOC21H39,383.22951023,384.2329394980443,4.167516343835156
AsHC,AsHC396,20,NA,3,NA,AsOC22H41,397.2451603,398.24858967308353,3.9781447192193724
AsHC,AsHC410,21,NA,3,NA,AsOC23H43,411.26081037,412.2642398389918,3.8052351255161616
AsHC,AsHC424,22,NA,3,NA,AsOC24H45,425.27646044,426.27988999691,3.646730415652476
AsHC,AsHC438,23,NA,3,NA,AsOC25H47,439.29211051,440.29554014779677,3.5009024929102464
AsHC,AsHC452,24,NA,3,NA,AsOC26H49,453.30776058,454.31119029246315,3.3662890492366837
AsHC,AsHC466,25,NA,3,NA,AsOC27H51,467.32341065,468.3268404316002,3.2416443580228806
AsHC,AsHC480,26,NA,3,NA,AsOC28H53,481.33906072,482.34249056580006,3.125900608621727
AsHC,AsHC494,27,NA,3,NA,AsOC29H55,495.35471079,496.35814069557347,3.0181372386684027
AsHC,AsHC508,28,NA,3,NA,AsOC30H57,509.37036086,510.37379082136295,2.9175563984897495
AsHC,AsHC522,29,NA,3,NA,AsOC31H59,523.38601093,524.3894409435538,2.823463163253434
AsHC,AsHC536,30,NA,3,NA,AsOC32H61,537.401661,538.4050910624836,2.7352494545185357
AsHC,AsHC296,13,NA,4,NA,AsOC15H25,297.11995974,298.12338308928315,5.8439656939323426
AsHC,AsHC310,14,NA,4,NA,AsOC16H27,311.13560981,312.13903367429884,5.4782792673625895
AsHC,AsHC324,15,NA,4,NA,AsOC17H29,325.15125988,326.154684198656,5.155663389668139
AsHC,AsHC338,16,NA,4,NA,AsOC18H31,339.16690995,340.1703346724751,4.868931975298025
