Lipid Class (short),Lipid ID (ms1 only),SN1 tail length,SN2 tail length,SN1 saturation,SN2 saturation,Empirical Formula (in ionic state),m/z
AsHC,AsHC368,18,NA,3,NA,AsOC20H37,369.21386016
AsHC,AsHC382,19,NA,3,NA,AsOC21H39,383.22951023
AsHC,AsHC396,20,NA,3,NA,AsOC22H41,397.2451603
AsHC,AsHC410,21,NA,3,NA,AsOC23H43,411.26081037
AsHC,AsHC424,22,NA,3,NA,AsOC24H45,425.27646044
AsHC,AsHC438,23,NA,3,NA,AsOC25H47,439.29211051
AsHC,AsHC452,24,NA,3,NA,AsOC26H49,453.30776058
AsHC,AsHC466,25,NA,3,NA,AsOC27H51,467.32341065
AsHC,AsHC480,26,NA,3,NA,AsOC28H53,481.33906072
AsHC,AsHC494,27,NA,3,NA,AsOC29H55,495.35471079
AsHC,AsHC508,28,NA,3,NA,AsOC30H57,509.37036086
AsHC,AsHC522,29,NA,3,NA,AsOC31H59,523.38601093
AsHC,AsHC536,30,NA,3,NA,AsOC32H61,537.401661
AsHC,AsHC296,13,NA,4,NA,AsOC15H25,297.11995974
AsHC,AsHC310,14,NA,4,NA,AsOC16H27,311.13560981
AsHC,AsHC324,15,NA,4,NA,AsOC17H29,325.15125988
AsHC,AsHC338,16,NA,4,NA,AsOC18H31,339.16690995
AsHC,AsHC352,17,NA,4,NA,AsOC19H33,353.18256002
AsHC,AsHC366,18,NA,4,NA,AsOC20H35,367.19821009
AsHC,AsHC380,19,NA,4,NA,AsOC21H37,381.21386016
AsHC,AsHC394,20,NA,4,NA,AsOC22H39,395.22951023
AsHC,AsHC408,21,NA,4,NA,AsOC23H41,409.2451603
AsHC,AsHC422,22,NA,4,NA,AsOC24H43,423.26081037
AsHC,AsHC436,23,NA,4,NA,AsOC25H45,437.27646044
AsHC,AsHC450,24,NA,4,NA,AsOC26H47,451.29211051
AsHC,AsHC464,25,NA,4,NA,AsOC27H49,465.30776058
AsHC,AsHC478,26,NA,4,NA,AsOC28H51,479.32341065
AsHC,AsHC492,27,NA,4,NA,AsOC29H53,493.33906072
AsHC,AsHC506,28,NA,4,NA,AsOC30H55,507.35471079
AsHC,AsHC520,29,NA,4,NA,AsOC31H57,521.37036086
AsHC,AsHC534,30,NA,4,NA,AsOC32H59,535.38601093
AsHC,AsHC294,13,NA,5,NA,AsOC15H23,295.10430967
AsHC,AsHC308,14,NA,5,NA,AsOC16H25,309.11995974
AsHC,AsHC322,15,NA,5,NA,AsOC17H27,323.13560981
AsHC,AsHC336,16,NA,5,NA,AsOC18H29,337.15125988
AsHC,AsHC350,17,NA,5,NA,AsOC19H31,351.16690995
AsHC,AsHC364,18,NA,5,NA,AsOC20H33,365.18256002
AsHC,AsHC378,19,NA,5,NA,AsOC21H35,379.19821009
AsHC,AsHC392,20,NA,5,NA,AsOC22H37,393.21386016
AsHC,AsHC406,21,NA,5,NA,AsOC23H39,407.22951023
AsHC,AsHC420,22,NA,5,NA,AsOC24H41,421.2451603
AsHC,AsHC434,23,NA,5,NA,AsOC25H43,435.26081037
AsHC,AsHC448,24,NA,5,NA,AsOC26H45,449.27646044
AsHC,AsHC462,25,NA,5,NA,AsOC27H47,463.29211051
AsHC,AsHC476,26,NA,5,NA,AsOC28H49,477.30776058
AsHC,AsHC490,27,NA,5,NA,AsOC29H51,491.32341065
AsHC,AsHC504,28,NA,5,NA,AsOC30H53,505.33906072
AsHC,AsHC518,29,NA,5,NA,AsOC31H55,519.35471079
AsHC,AsHC532,30,NA,5,NA,AsOC32H57,533.37036086
AsHC,AsHC292,13,NA,6,NA,AsOC15H21,293.0886596
AsHC,AsHC306,14,NA,6,NA,AsOC16H23,307.10430967
AsHC,AsHC320,15,NA,6,NA,AsOC17H25,321.11995974
AsHC,AsHC334,16,NA,6,NA,AsOC18H27,335.13560981
AsHC,AsHC348,17,NA,6,NA,AsOC19H29,349.15125988
AsHC,AsHC362,18,NA,6,NA,AsOC20H31,363.16690995
AsHC,AsHC376,19,NA,6,NA,AsOC21H33,377.18256002
AsHC,AsHC390,20,NA,6,NA,AsOC22H35,391.19821009
AsHC,AsHC404,21,NA,6,NA,AsOC23H37,405.21386016
AsHC,AsHC418,22,NA,6,NA,AsOC24H39,419.22951023
AsHC,AsHC432,23,NA,6,NA,AsOC25H41,433.2451603
AsHC,AsHC446,24,NA,6,NA,AsOC26H43,447.26081037
AsHC,AsHC460,25,NA,6,NA,AsOC27H45,461.27646044
AsHC,AsHC474,26,NA,6,NA,AsOC28H47,475.29211051
AsHC,AsHC488,27,NA,6,NA,AsOC29H49,489.30776058
AsHC,AsHC502,28,NA,6,NA,AsOC30H51,503.32341065
AsHC,AsHC516,29,NA,6,NA,AsOC31H53,517.33906072
AsHC,AsHC530,30,NA,6,NA,AsOC32H55,531.35471079
AsSugPL,AsSugPL818,10,10,0,0,AsO14PC35H68,819.364088435
AsSugPL,AsSugPL846,12,10,0,0,AsO14PC37H72,847.395388575
AsSugPL,AsSugPL874,14,10,0,0,AsO14PC39H76,875.426688715
AsSugPL,AsSugPL902,16,10,0,0,AsO14PC41H80,903.457988855
AsSugPL,AsSugPL930,18,10,0,0,AsO14PC43H84,931.489288995
AsSugPL,AsSugPL958,20,10,0,0,AsO14PC45H88,959.520589135
AsSugPL,AsSugPL986,22,10,0,0,AsO14PC47H92,987.551889275
AsSugPL,AsSugPL1014,24,10,0,0,AsO14PC49H96,1015.583189415
AsSugPL,AsSugPL816,10,10,1,0,AsO14PC35H66,817.348438365
AsSugPL,AsSugPL844,12,10,1,0,AsO14PC37H70,845.379738505
AsSugPL,AsSugPL872,14,10,1,0,AsO14PC39H74,873.411038645
AsSugPL,AsSugPL900,16,10,1,0,AsO14PC41H78,901.442338785
AsSugPL,AsSugPL928,18,10,1,0,AsO14PC43H82,929.473638925
AsSugPL,AsSugPL956,20,10,1,0,AsO14PC45H86,957.504939065
AsSugPL,AsSugPL984,22,10,1,0,AsO14PC47H90,985.536239205
AsSugPL,AsSugPL1012,24,10,1,0,AsO14PC49H94,1013.567539345
AsSugPL,AsSugPL814,10,10,2,0,AsO14PC35H64,815.332788295
AsSugPL,AsSugPL842,12,10,2,0,AsO14PC37H68,843.364088435
AsSugPL,AsSugPL870,14,10,2,0,AsO14PC39H72,871.395388575
AsSugPL,AsSugPL898,16,10,2,0,AsO14PC41H76,899.426688715
AsSugPL,AsSugPL926,18,10,2,0,AsO14PC43H80,927.457988855
AsSugPL,AsSugPL954,20,10,2,0,AsO14PC45H84,955.489288995
AsSugPL,AsSugPL982,22,10,2,0,AsO14PC47H88,983.520589135
AsSugPL,AsSugPL1010,24,10,2,0,AsO14PC49H92,1011.551889275
AsSugPL,AsSugPL812,10,10,3,0,AsO14PC35H62,813.317138225
AsSugPL,AsSugPL840,12,10,3,0,AsO14PC37H66,841.348438365
AsSugPL,AsSugPL868,14,10,3,0,AsO14PC39H70,869.379738505
AsSugPL,AsSugPL896,16,10,3,0,AsO14PC41H74,897.411038645
AsSugPL,AsSugPL924,18,10,3,0,AsO14PC43H78,925.442338785
AsSugPL,AsSugPL952,20,10,3,0,AsO14PC45H82,953.473638925
AsSugPL,AsSugPL980,22,10,3,0,AsO14PC47H86,981.504939065
AsSugPL,AsSugPL1008,24,10,3,0,AsO14PC49H90,1009.536239205
AsSugPL,AsSugPL810,10,10,4,0,AsO14PC35H60,811.301488155
AsSugPL,AsSugPL838,12,10,4,0,AsO14PC37H64,839.332788295
