sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
121;487.287;5801.34591225164;487.299;100.0004000016;487.31;0;487.322;0;487.322;NaN
122;487.333;4300.73972723308;487.344;100.0004000016;487.356;0;487.368;0;487.368;NaN
123;487.379;5601.25468104855;487.39;0;487.402;0;487.413;0;487.413;NaN
124;487.425;5801.34591225164;487.436;0;487.448;0;487.459;0;487.459;NaN
125;487.471;6701.7960813498;487.482;0;487.494;0;487.505;0;487.505;NaN
126;487.516;6001.44034568296;487.528;100.0004000016;487.539;0;487.551;0;487.551;NaN
127;487.562;5801.34591225164;487.574;0;487.585;0;487.597;0;487.597;NaN
128;487.608;7902.49718911176;487.62;0;487.631;0;487.643;0;487.643;NaN
129;487.654;7001.96054895371;487.666;0;487.677;0;487.689;0;487.689;NaN
130;487.7;6301.58800017604;487.711;0;487.723;0;487.734;0;487.734;NaN
131;487.746;5801.34591225164;487.757;0;487.769;0;487.78;0;487.78;NaN
132;487.792;5701.29989637637;487.803;200.0016000128;487.815;0;487.826;0;487.826;NaN
133;487.837;6301.58800017604;487.849;0;487.86;100.0004000016;487.872;0;487.872;0
134;487.883;6101.48876325823;487.895;200.0016000128;487.906;100.0004000016;487.918;0;487.918;0
135;487.929;5601.25468104855;487.941;200.0016000128;487.952;0;487.964;0;487.964;NaN
136;487.975;7001.96054895371;487.987;0;487.998;0;488.01;0;488.01;NaN
137;488.021;5801.34591225164;488.033;100.0004000016;488.044;0;488.056;0;488.056;NaN
138;488.067;5901.39272868397;488.078;0;488.09;0;488.101;0;488.101;NaN
139;488.113;6901.90492575951;488.124;0;488.136;0;488.147;0;488.147;NaN
140;488.158;6001.44034568296;488.17;100.0004000016;488.182;0;488.193;0;488.193;NaN
141;488.204;8903.16952835209;488.216;200.0016000128;488.227;100.0004000016;488.239;0;488.239;0
142;488.25;6101.48876325823;488.262;0;488.273;0;488.285;0;488.285;NaN
143;488.296;7402.19104855037;488.308;0;488.319;100.0004000016;488.331;0;488.331;0
144;488.342;6701.7960813498;488.354;100.0004000016;488.365;0;488.377;0;488.377;NaN
145;488.388;8602.95941803981;488.399;100.0004000016;488.411;0;488.422;0;488.422;NaN
146;488.434;6801.85010322808;488.445;200.0016000128;488.457;0;488.468;0;488.468;NaN
147;488.48;6101.48876325823;488.491;0;488.503;0;488.514;0;488.514;NaN
148;488.525;8102.62525058119;488.537;100.0004000016;488.549;100.0004000016;488.56;0;488.56;0
149;488.571;5401.16665199683;488.583;100.0004000016;488.594;0;488.606;0;488.606;NaN
150;488.617;5601.25468104855;488.629;0;488.64;0;488.652;0;488.652;NaN
151;488.663;6701.7960813498;488.675;100.0004000016;488.686;0;488.698;0;488.698;NaN
152;488.709;5901.39272868397;488.72;200.0016000128;488.732;0;488.743;100.0004000016;488.743;NaN
153;488.755;7702.37233067785;488.766;0;488.778;0;488.789;0;488.789;NaN
154;488.801;8002.56081946223;488.812;0;488.824;0;488.835;0;488.835;NaN
155;488.846;5501.21026625858;488.858;0;488.87;0;488.881;0;488.881;NaN
156;488.892;7902.49718911176;488.904;0;488.916;0;488.927;0;488.927;NaN
157;488.938;6501.69043951427;488.95;100.0004000016;488.961;0;488.973;0;488.973;NaN
158;488.984;6201.53798141939;488.996;0;489.007;0;489.019;0;489.019;NaN
159;489.03;6401.6388195378;489.042;0;489.053;0;489.065;0;489.065;NaN
160;489.076;7001.96054895371;489.088;100.0004000016;489.099;0;489.111;0;489.111;NaN
161;489.122;4600.84655576626;489.133;100.0004000016;489.145;0;489.156;0;489.156;NaN
162;489.168;5201.0818250196;489.179;0;489.191;0;489.202;0;489.202;NaN
163;489.214;7302.132222609;489.225;100.0004000016;489.237;0;489.248;0;489.248;NaN
164;489.259;5901.39272868397;489.271;0;489.283;0;489.294;0;489.294;NaN
165;489.305;5801.34591225164;489.317;0;489.328;100.0004000016;489.34;0;489.34;0
166;489.351;5401.16665199683;489.363;0;489.374;200.0016000128;489.386;0;489.386;0
167;489.397;7102.01697282028;489.409;100.0004000016;489.42;0;489.432;0;489.432;NaN
168;489.443;6801.85010322808;489.455;0;489.466;100.0004000016;489.478;0;489.478;0
169;489.489;6001.44034568296;489.501;0;489.512;0;489.524;0;489.524;NaN
170;489.535;5001.00020004001;489.546;0;489.558;0;489.569;0;489.569;NaN
171;489.581;5301.12383825371;489.592;0;489.604;100.0004000016;489.615;0;489.615;0
172;489.627;6601.74286011507;489.638;0;489.65;0;489.661;0;489.661;NaN
173;489.672;5201.0818250196;489.684;0;489.695;0;489.707;0;489.707;NaN
174;489.718;5001.00020004001;489.73;100.0004000016;489.741;0;489.753;0;489.753;NaN
175;489.764;6201.53798141939;489.776;300.003600043201;489.787;0;489.799;0;489.799;NaN
176;489.81;6501.69043951427;489.822;0;489.833;0;489.845;0;489.845;NaN
177;489.856;5301.12383825371;489.867;0;489.879;0;489.89;0;489.89;NaN
178;489.902;7602.31110257518;489.913;0;489.925;0;489.936;0;489.936;NaN
179;489.948;6001.44034568296;489.959;100.0004000016;489.971;0;489.982;0;489.982;NaN
180;489.993;7402.19104855037;490.005;0;490.017;0;490.028;0;490.028;NaN
181;490.039;5301.12383825371;490.051;100.0004000016;490.062;0;490.074;0;490.074;NaN
182;490.085;6201.53798141939;490.097;100.0004000016;490.108;0;490.12;0;490.12;NaN
183;490.131;8002.56081946223;490.143;0;490.154;100.0004000016;490.166;0;490.166;0
184;490.177;6201.53798141939;490.189;0;490.2;100.0004000016;490.212;0;490.212;0
185;490.223;7802.43435952017;490.234;0;490.246;0;490.257;0;490.257;NaN
186;490.269;6001.44034568296;490.28;0;490.292;0;490.303;0;490.303;NaN
187;490.315;6401.6388195378;490.326;0;490.338;100.0004000016;490.349;0;490.349;0
188;490.36;6001.44034568296;490.372;0;490.384;0;490.395;0;490.395;NaN
189;490.406;6001.44034568296;490.418;100.0004000016;490.43;0;490.441;0;490.441;NaN
190;490.452;5301.12383825371;490.464;0;490.475;0;490.487;0;490.487;NaN
191;490.498;5701.29989637637;490.51;0;490.521;0;490.533;0;490.533;NaN
192;490.544;6701.7960813498;490.556;100.0004000016;490.567;100.0004000016;490.579;0;490.579;0
193;490.59;6801.85010322808;490.602;0;490.613;100.0004000016;490.625;0;490.625;0
194;490.636;7302.132222609;490.647;0;490.659;0;490.67;0;490.67;NaN
195;490.682;6001.44034568296;490.693;0;490.705;0;490.716;0;490.716;NaN
196;490.728;8102.62525058119;490.739;0;490.751;0;490.762;0;490.762;NaN
197;490.773;5501.21026625858;490.785;0;490.797;0;490.808;0;490.808;NaN
198;490.819;6201.53798141939;490.831;0;490.842;0;490.854;0;490.854;NaN
199;490.865;5501.21026625858;490.877;100.0004000016;490.888;0;490.9;0;490.9;NaN
200;490.911;7302.132222609;490.923;100.0004000016;490.934;0;490.946;0;490.946;NaN
201;490.957;5301.12383825371;490.968;200.0016000128;490.98;0;490.992;0;490.992;NaN
202;491.003;6901.90492575951;491.014;0;491.026;0;491.038;0;491.038;NaN
203;491.049;7302.132222609;491.06;0;491.072;100.0004000016;491.083;0;491.083;0
204;491.095;5201.0818250196;491.106;0;491.118;0;491.129;0;491.129;NaN
205;491.14;6501.69043951427;491.152;0;491.164;0;491.175;0;491.175;NaN
206;491.186;5201.0818250196;491.198;0;491.209;0;491.221;0;491.221;NaN
207;491.232;6801.85010322808;491.244;0;491.255;0;491.267;0;491.267;NaN
208;491.278;5901.39272868397;491.289;100.0004000016;491.301;0;491.313;0;491.313;NaN
209;491.324;7202.07419736884;491.335;100.0004000016;491.347;0;491.358;0;491.358;NaN
210;491.37;6401.6388195378;491.381;0;491.393;0;491.404;0;491.404;NaN
211;491.416;6301.58800017604;491.427;0;491.439;0;491.45;0;491.45;NaN
212;491.462;6001.44034568296;491.473;0;491.485;200.0016000128;491.496;0;491.496;0
213;491.507;5001.00020004001;491.519;100.0004000016;491.53;0;491.542;0;491.542;NaN
214;491.553;5501.21026625858;491.565;0;491.576;0;491.588;0;491.588;NaN
215;491.599;5301.12383825371;491.611;200.0016000128;491.622;0;491.634;0;491.634;NaN
216;491.645;5001.00020004001;491.657;0;491.668;0;491.68;0;491.68;NaN
217;491.691;6301.58800017604;491.702;0;491.714;0;491.725;0;491.725;NaN
218;491.737;6501.69043951427;491.748;0;491.76;0;491.771;0;491.771;NaN
219;491.783;6201.53798141939;491.794;100.0004000016;491.806;0;491.817;0;491.817;NaN
220;491.828;5901.39272868397;491.84;0;491.852;0;491.863;0;491.863;NaN
221;491.874;6501.69043951427;491.886;100.0004000016;491.897;0;491.909;100.0004000016;491.909;NaN
222;491.92;6101.48876325823;491.932;0;491.943;0;491.955;0;491.955;NaN
223;491.966;7001.96054895371;491.978;0;491.989;0;492.001;0;492.001;NaN
224;492.012;6101.48876325823;492.024;300.003600043201;492.035;0;492.047;0;492.047;NaN
225;492.058;5601.25468104855;492.069;0;492.081;0;492.093;0;492.093;NaN
226;492.104;5001.00020004001;492.115;0;492.127;0;492.138;0;492.138;NaN
227;492.15;6101.48876325823;492.161;0;492.173;0;492.184;0;492.184;NaN
228;492.196;6001.44034568296;492.207;0;492.219;0;492.23;0;492.23;NaN
229;492.242;6001.44034568296;492.253;0;492.265;0;492.276;0;492.276;NaN
230;492.287;5801.34591225164;492.299;0;492.311;0;492.322;0;492.322;NaN
231;492.333;6701.7960813498;492.345;0;492.356;0;492.368;0;492.368;NaN
232;492.379;7302.132222609;492.391;100.0004000016;492.402;200.0016000128;492.414;0;492.414;0
233;492.425;7802.43435952017;492.437;200.0016000128;492.448;0;492.46;0;492.46;NaN
234;492.471;7902.49718911176;492.482;0;492.494;400.006400102402;492.505;0;492.505;0
235;492.517;6301.58800017604;492.528;0;492.54;0;492.551;0;492.551;NaN
236;492.563;5901.39272868397;492.574;0;492.586;0;492.597;0;492.597;NaN
237;492.608;7102.01697282028;492.62;0;492.632;0;492.643;0;492.643;NaN
238;492.654;8502.8909829342;492.666;0;492.678;0;492.689;0;492.689;NaN
239;492.7;5501.21026625858;492.712;0;492.723;0;492.735;0;492.735;NaN
240;492.746;6901.90492575951;492.758;200.0016000128;492.769;0;492.781;0;492.781;NaN
241;492.792;7702.37233067785;492.803;0;492.815;0;492.827;0;492.827;NaN
242;492.838;6301.58800017604;492.849;100.0004000016;492.861;0;492.872;0;492.872;NaN
243;492.884;6401.6388195378;492.895;0;492.907;0;492.918;0;492.918;NaN
244;492.93;5901.39272868397;492.941;0;492.953;0;492.964;0;492.964;NaN
245;492.976;6801.85010322808;492.987;0;492.999;100.0004000016;493.01;0;493.01;0
246;493.021;6701.7960813498;493.033;0;493.044;0;493.056;0;493.056;NaN
247;493.067;5901.39272868397;493.079;0;493.09;0;493.102;0;493.102;NaN
248;493.113;5901.39272868397;493.125;0;493.136;100.0004000016;493.148;0;493.148;0
249;493.159;7702.37233067785;493.171;100.0004000016;493.182;0;493.194;0;493.194;NaN
250;493.205;7102.01697282028;493.216;0;493.228;0;493.24;0;493.24;NaN
251;493.251;6801.85010322808;493.262;0;493.274;0;493.285;0;493.285;NaN
252;493.297;6601.74286011507;493.308;0;493.32;0;493.331;0;493.331;NaN
253;493.342;6901.90492575951;493.354;0;493.366;100.0004000016;493.377;0;493.377;0
254;493.388;4300.73972723308;493.4;0;493.411;200.0016000128;493.423;0;493.423;0
255;493.434;5701.29989637637;493.446;0;493.457;0;493.469;0;493.469;NaN
256;493.48;6601.74286011507;493.492;0;493.503;0;493.515;0;493.515;NaN
257;493.526;5301.12383825371;493.537;0;493.549;0;493.561;0;493.561;NaN
258;493.572;5401.16665199683;493.583;0;493.595;0;493.606;0;493.606;NaN
259;493.618;5901.39272868397;493.629;0;493.641;0;493.652;0;493.652;NaN
260;493.664;5501.21026625858;493.675;0;493.687;0;493.698;100.0004000016;493.698;NaN
261;493.709;6001.44034568296;493.721;100.0004000016;493.732;100.0004000016;493.744;0;493.744;0
262;493.755;4400.77453631839;493.767;0;493.778;0;493.79;0;493.79;NaN
263;493.801;5001.00020004001;493.813;0;493.824;100.0004000016;493.836;100.0004000016;493.836;1
264;493.847;6101.48876325823;493.859;0;493.87;0;493.882;0;493.882;NaN
265;493.893;6101.48876325823;493.904;0;493.916;0;493.927;0;493.927;NaN
