sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
118;5323.22;500.010000200004;5323.232;200.0016000128;5323.243;0;5323.255;0;5323.255;NaN
119;5323.266;200.0016000128;5323.278;400.006400102402;5323.289;0;5323.301;0;5323.301;NaN
120;5323.312;300.003600043201;5323.323;0;5323.335;0;5323.347;0;5323.347;NaN
121;5323.358;100.0004000016;5323.369;100.0004000016;5323.381;100.0004000016;5323.392;0;5323.392;0
122;5323.404;300.003600043201;5323.415;300.003600043201;5323.427;0;5323.438;0;5323.438;NaN
123;5323.45;0;5323.461;0;5323.473;0;5323.484;0;5323.484;NaN
124;5323.495;200.0016000128;5323.507;100.0004000016;5323.519;0;5323.53;0;5323.53;NaN
125;5323.541;100.0004000016;5323.553;0;5323.564;0;5323.576;0;5323.576;NaN
126;5323.587;400.006400102402;5323.599;0;5323.61;0;5323.622;0;5323.622;NaN
127;5323.633;200.0016000128;5323.645;300.003600043201;5323.656;0;5323.668;0;5323.668;NaN
128;5323.679;100.0004000016;5323.69;100.0004000016;5323.702;0;5323.713;0;5323.713;NaN
129;5323.725;300.003600043201;5323.736;100.0004000016;5323.748;0;5323.759;0;5323.759;NaN
130;5323.771;100.0004000016;5323.782;200.0016000128;5323.794;0;5323.805;0;5323.805;NaN
131;5323.816;100.0004000016;5323.828;400.006400102402;5323.84;0;5323.851;0;5323.851;NaN
132;5323.862;300.003600043201;5323.874;1000.04000160006;5323.885;0;5323.897;100.0004000016;5323.897;NaN
133;5323.908;200.0016000128;5323.92;200.0016000128;5323.931;0;5323.943;0;5323.943;NaN
134;5323.954;0;5323.966;100.0004000016;5323.977;100.0004000016;5323.989;0;5323.989;0
135;5324;100.0004000016;5324.012;100.0004000016;5324.023;0;5324.035;0;5324.035;NaN
136;5324.046;100.0004000016;5324.057;500.010000200004;5324.069;100.0004000016;5324.081;0;5324.081;0
137;5324.092;100.0004000016;5324.103;200.0016000128;5324.115;100.0004000016;5324.126;0;5324.126;0
138;5324.138;100.0004000016;5324.149;300.003600043201;5324.161;0;5324.172;0;5324.172;NaN
139;5324.184;100.0004000016;5324.195;400.006400102402;5324.207;0;5324.218;0;5324.218;NaN
140;5324.229;0;5324.241;700.019600548815;5324.252;0;5324.264;0;5324.264;NaN
141;5324.275;100.0004000016;5324.287;0;5324.298;0;5324.31;0;5324.31;NaN
142;5324.321;100.0004000016;5324.333;200.0016000128;5324.344;0;5324.356;0;5324.356;NaN
143;5324.367;100.0004000016;5324.379;200.0016000128;5324.39;0;5324.402;0;5324.402;NaN
144;5324.413;0;5324.424;300.003600043201;5324.436;0;5324.448;0;5324.448;NaN
145;5324.459;200.0016000128;5324.47;300.003600043201;5324.482;0;5324.493;0;5324.493;NaN
146;5324.505;200.0016000128;5324.516;100.0004000016;5324.528;100.0004000016;5324.539;0;5324.539;0
147;5324.55;200.0016000128;5324.562;200.0016000128;5324.573;100.0004000016;5324.585;0;5324.585;0
148;5324.596;200.0016000128;5324.608;100.0004000016;5324.619;0;5324.631;0;5324.631;NaN
149;5324.642;200.0016000128;5324.654;0;5324.665;0;5324.677;0;5324.677;NaN
150;5324.688;200.0016000128;5324.7;200.0016000128;5324.711;0;5324.723;0;5324.723;NaN
151;5324.734;200.0016000128;5324.745;200.0016000128;5324.757;0;5324.769;0;5324.769;NaN
152;5324.78;100.0004000016;5324.791;200.0016000128;5324.803;100.0004000016;5324.814;0;5324.814;0
153;5324.826;200.0016000128;5324.837;100.0004000016;5324.849;0;5324.86;0;5324.86;NaN
154;5324.872;100.0004000016;5324.883;500.010000200004;5324.895;0;5324.906;0;5324.906;NaN
155;5324.917;100.0004000016;5324.929;100.0004000016;5324.941;0;5324.952;0;5324.952;NaN
156;5324.963;200.0016000128;5324.975;0;5324.986;0;5324.998;0;5324.998;NaN
157;5325.009;200.0016000128;5325.021;100.0004000016;5325.032;0;5325.044;0;5325.044;NaN
158;5325.055;100.0004000016;5325.067;100.0004000016;5325.078;0;5325.09;0;5325.09;NaN
159;5325.101;200.0016000128;5325.112;300.003600043201;5325.124;0;5325.136;0;5325.136;NaN
160;5325.147;100.0004000016;5325.158;300.003600043201;5325.17;0;5325.181;0;5325.181;NaN
161;5325.193;100.0004000016;5325.204;200.0016000128;5325.216;0;5325.227;0;5325.227;NaN
162;5325.239;0;5325.25;0;5325.262;0;5325.273;0;5325.273;NaN
163;5325.284;100.0004000016;5325.296;0;5325.308;0;5325.319;0;5325.319;NaN
164;5325.33;0;5325.342;200.0016000128;5325.353;0;5325.365;0;5325.365;NaN
165;5325.376;0;5325.388;0;5325.399;0;5325.411;0;5325.411;NaN
166;5325.422;0;5325.434;400.006400102402;5325.445;0;5325.457;0;5325.457;NaN
167;5325.468;200.0016000128;5325.48;200.0016000128;5325.491;0;5325.503;0;5325.503;NaN
168;5325.514;400.006400102402;5325.525;200.0016000128;5325.537;0;5325.548;0;5325.548;NaN
169;5325.56;100.0004000016;5325.571;300.003600043201;5325.583;0;5325.594;0;5325.594;NaN
170;5325.605;200.0016000128;5325.617;200.0016000128;5325.629;0;5325.64;0;5325.64;NaN
171;5325.651;100.0004000016;5325.663;200.0016000128;5325.674;0;5325.686;0;5325.686;NaN
172;5325.697;100.0004000016;5325.709;100.0004000016;5325.72;0;5325.732;0;5325.732;NaN
173;5325.743;100.0004000016;5325.755;400.006400102402;5325.766;0;5325.778;0;5325.778;NaN
174;5325.789;300.003600043201;5325.801;100.0004000016;5325.812;100.0004000016;5325.824;0;5325.824;0
175;5325.835;100.0004000016;5325.846;200.0016000128;5325.858;0;5325.869;0;5325.869;NaN
176;5325.881;200.0016000128;5325.892;100.0004000016;5325.904;0;5325.915;0;5325.915;NaN
177;5325.927;0;5325.938;100.0004000016;5325.95;100.0004000016;5325.961;0;5325.961;0
178;5325.972;200.0016000128;5325.984;0;5325.996;0;5326.007;0;5326.007;NaN
179;5326.018;300.003600043201;5326.03;100.0004000016;5326.041;0;5326.053;0;5326.053;NaN
180;5326.064;100.0004000016;5326.076;100.0004000016;5326.087;0;5326.099;0;5326.099;NaN
181;5326.11;0;5326.122;200.0016000128;5326.133;100.0004000016;5326.145;0;5326.145;0
182;5326.156;200.0016000128;5326.167;0;5326.179;0;5326.19;0;5326.19;NaN
183;5326.202;0;5326.213;0;5326.225;0;5326.236;0;5326.236;NaN
184;5326.248;100.0004000016;5326.259;300.003600043201;5326.271;0;5326.282;0;5326.282;NaN
185;5326.293;200.0016000128;5326.305;400.006400102402;5326.317;0;5326.328;0;5326.328;NaN
186;5326.339;200.0016000128;5326.351;100.0004000016;5326.362;0;5326.374;0;5326.374;NaN
187;5326.385;200.0016000128;5326.397;0;5326.408;0;5326.42;0;5326.42;NaN
188;5326.431;100.0004000016;5326.443;200.0016000128;5326.454;100.0004000016;5326.466;0;5326.466;0
189;5326.477;600.014400345608;5326.489;500.010000200004;5326.5;0;5326.512;0;5326.512;NaN
190;5326.523;800.025600819226;5326.534;0;5326.546;0;5326.557;0;5326.557;NaN
191;5326.569;200.0016000128;5326.58;200.0016000128;5326.592;0;5326.603;0;5326.603;NaN
192;5326.615;200.0016000128;5326.626;0;5326.638;0;5326.649;0;5326.649;NaN
193;5326.66;300.003600043201;5326.672;100.0004000016;5326.684;100.0004000016;5326.695;0;5326.695;0
194;5326.706;0;5326.718;100.0004000016;5326.729;100.0004000016;5326.741;0;5326.741;0
195;5326.752;100.0004000016;5326.764;600.014400345608;5326.775;0;5326.787;0;5326.787;NaN
196;5326.798;100.0004000016;5326.81;300.003600043201;5326.821;0;5326.833;0;5326.833;NaN
197;5326.844;0;5326.856;100.0004000016;5326.867;100.0004000016;5326.879;0;5326.879;0
198;5326.89;100.0004000016;5326.901;200.0016000128;5326.913;0;5326.924;0;5326.924;NaN
199;5326.936;200.0016000128;5326.947;300.003600043201;5326.959;0;5326.97;0;5326.97;NaN
